title,topic_group,skill_groups,skills,grade_low,grade_high,author_id,created_at,figma_link,description,extended_description
Performance Marketing,Marketing,Customer Analytics,"Product Marketing Measuring Progress, KPIs",1,3,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=370-12964&t=aENtCOSbBGKwDMTu-4,Optimize performance marketing. Enhance product marketing and progress measurement skills with analytics in this specialized course,"""Performance Marketing"" navigates the dynamic landscape of marketing strategies geared towards measurable results. Situated within the marketing domain, this course immerses participants in techniques to enhance campaign performance and ROI. Focusing on customer-centricity and analytics, topics span from segmentation strategies to conversion rate optimization. Skills cultivated encompass proficient 'Product Marketing' methodologies and adeptness in 'Measuring Progress and KPIs'. Upon completion, participants will possess the prowess to design, execute, and refine marketing campaigns that not only resonate with the target audience but also deliver tangible, data-driven results, ensuring continual optimization and success."
Growth Hacking,Growth,Product Customer,Product Discovery Product Marketing,2,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=434-14848&t=aENtCOSbBGKwDMTu-4,Master growth hacking strategies. Develop product discovery and product marketing skills in this dynamic growth-focused course,"""Growth Hacking"" is an immersive journey into innovative strategies for rapid business expansion. Positioned within the realm of growth, this course explores unconventional yet effective methods to propel organizational growth. Delving into both product and customer domains, participants will explore topics such as viral marketing, rapid experimentation, and user acquisition tactics. Skills honed include mastering 'Product Discovery' techniques to identify market opportunities and implementing impactful 'Product Marketing' strategies. By the course's end, learners will be equipped with the mindset and tools to drive exponential growth, leveraging creative approaches and data-driven insights to fuel business expansion."
"Sales (B2C, B2B)",Growth,Customer,Voice of Customer Product Marketing,2,4,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=434-14861&t=aENtCOSbBGKwDMTu-4,Excel in sales strategies. Cultivate voice of customer and product marketing skills in this versatile course,"""Sales (B2C, B2B)"" offers a comprehensive exploration of effective sales techniques tailored for both consumer and business markets. Situated within the growth domain, this course delves into strategies to drive revenue and market expansion. With a focus on understanding customer needs and preferences, participants will delve into topics such as buyer personas, value proposition development, and sales funnel optimization. Skills cultivated include harnessing the 'Voice of Customer' to tailor sales approaches and adept 'Product Marketing' methodologies. By course completion, participants will be equipped to navigate diverse sales landscapes, effectively engage target audiences, and drive sustainable business growth across B2C and B2B sectors."
AI Algorithms,Artificial Intelligence (AI),Analytics Processes,Fluency with Data Software Engineering,2,4,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=317-35613&t=aENtCOSbBGKwDMTu-4,Master AI algorithms. Develop fluency with data and software engineering skills in this advanced analytics course,"""AI Algorithms"" is a deep dive into the core algorithms powering artificial intelligence systems. As part of the Artificial Intelligence (AI) domain, this course explores the fundamental principles and applications of AI algorithms. Covering topics such as machine learning, neural networks, and natural language processing, participants will gain a comprehensive understanding of AI algorithms' inner workings. Skills cultivated include a high level of 'Fluency with Data' to effectively analyze and manipulate datasets, as well as proficiency in 'Software Engineering' practices for implementing and optimizing AI algorithms. By the course's end, participants will be equipped with the knowledge and skills to design, develop, and deploy powerful AI solutions across various domains."
AI Use Cases,Artificial Intelligence (AI),Product Processes,Strategic Impact Software Engineering,3,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=321-36793&t=aENtCOSbBGKwDMTu-4,Explore AI applications. Hone strategic impact and software engineering skills in this comprehensive AI use cases course,"""AI Use Cases"" explores practical applications and strategic implications of artificial intelligence. Situated within the Artificial Intelligence (AI) domain, this course delves into real-world scenarios where AI technologies drive transformative outcomes. Participants will examine diverse use cases across industries, from predictive analytics in finance to image recognition in healthcare. Skills cultivated include understanding the 'Strategic Impact' of AI implementations and proficiency in 'Software Engineering' practices for developing AI solutions. By the course's conclusion, participants will possess the expertise to identify, evaluate, and implement AI use cases that align with organizational objectives, unlocking new opportunities for innovation and efficiency."
Product Metrics,"KPIs, Metrics",Analytics,Fluency with Data Measuring Progress KPIs,1,4,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=111-1506&t=aENtCOSbBGKwDMTu-4,Master product metrics. Develop fluency with data and progress measurement skills in this focused analytics course,"""Product Metrics"" is a focused exploration of key performance indicators (KPIs) and metrics essential for evaluating product success. Situated within the domain of KPIs and Metrics, this course provides insights into selecting, tracking, and interpreting relevant metrics to measure product performance effectively. Participants will delve into topics such as user engagement, retention rates, and customer satisfaction metrics. Skills cultivated include a high level of 'Fluency with Data' to analyze and interpret metrics, as well as proficiency in 'Measuring Progress and KPIs' to gauge product success comprehensively. By course completion, participants will be equipped to leverage data-driven insights to optimize product strategies and drive sustainable growth."
Application Metrics,"KPIs, Metrics",Analytics,Fluency with Data Measuring Progress KPIs,1,3,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=111-1519&t=aENtCOSbBGKwDMTu-4,Optimize application metrics. Enhance fluency with data and progress measurement skills in this specialized analytics course,"""Application Metrics"" is a comprehensive study of key performance indicators (KPIs) and metrics crucial for assessing the performance and effectiveness of applications. Positioned within the domain of KPIs and Metrics, this course delves into the selection, monitoring, and interpretation of metrics essential for evaluating application performance, user experience, and overall success. Participants will explore various metrics such as user engagement, conversion rates, and system performance indicators. Skills honed include a robust proficiency in 'Fluency with Data' to analyze and interpret metrics effectively, alongside adeptness in 'Measuring Progress and KPIs' to evaluate application performance comprehensively. By the course's conclusion, participants will be well-equipped to utilize data-driven insights to optimize applications and drive continuous improvement."
Marketing Metrics,"KPIs, Metrics",Product Customer,Business Goals Ownership Product Marketing,1,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=114-1943&t=aENtCOSbBGKwDMTu-4,Refine marketing metrics. Cultivate business goals ownership and product marketing skills in this essential KPIs course,"""Marketing Metrics"" provides a comprehensive understanding of key performance indicators (KPIs) and metrics crucial for evaluating the effectiveness of marketing campaigns and strategies. Situated within the domain of KPIs and Metrics, this course explores the selection, tracking, and interpretation of metrics essential for measuring marketing performance, campaign success, and ROI. Participants will delve into various metrics such as conversion rates, customer acquisition cost, and return on ad spend (ROAS). Skills cultivated include taking ownership of 'Business Goals' to align marketing efforts with organizational objectives and proficiency in 'Product Marketing' strategies to optimize campaign performance. By the course's conclusion, participants will be empowered to leverage data-driven insights to refine marketing strategies, enhance targeting, and drive impactful results."
Product Analytics,Analytics,Product Analytics,Business Goals Ownership Fluency with Data,1,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=456-16395&t=aENtCOSbBGKwDMTu-4,Unlock product insights. Develop business goals ownership and fluency with data skills in this analytics-focused course,"""Product Analytics"" is a focused exploration of leveraging data analytics to drive product innovation and success. Positioned within the Analytics domain, this course equips participants with the tools and techniques to extract actionable insights from product-related data. Topics include understanding user behavior, identifying product usage patterns, and optimizing features for maximum impact. Skills cultivated encompass taking ownership of 'Business Goals' to align product development with organizational objectives and achieving a high level of 'Fluency with Data' for effective analysis and interpretation. By course completion, participants will possess the expertise to leverage analytics to make informed decisions, enhance user experiences, and drive continuous improvement in product development and strategy."
Data Analytics,Analytics,Analytics,Fluency with Data Measuring Progress KPIs,1,4,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=456-16421&t=aENtCOSbBGKwDMTu-4,Master data analytics. Enhance fluency with data and progress measurement skills in this comprehensive analytics course,"""Data Analytics"" is an immersive journey into the world of analytics, focusing on harnessing data to derive meaningful insights and drive informed decision-making. Positioned within the Analytics domain, this course provides participants with the foundational knowledge and skills necessary to navigate the data landscape effectively. Topics include data collection, cleaning, analysis, and visualization techniques. Skills cultivated encompass a high level of 'Fluency with Data' for proficient data manipulation and interpretation, as well as expertise in 'Measuring Progress and KPIs' to evaluate performance and guide strategic initiatives. By the course's conclusion, participants will be equipped to extract valuable insights from data, enabling them to make data-driven decisions and unlock new opportunities for growth and innovation."
Unit Economy Calculation,Unit Economics,Analytics,Fluency with Data Measuring Progress KPIs,1,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=151-3689&t=aENtCOSbBGKwDMTu-4,Refine unit economics. Cultivate fluency with data and progress measurement skills in this specialized analytics course,"""Unit Economy Calculation"" is a focused study on understanding and evaluating the unit economics of a business. Positioned within the Unit Economics domain, this course equips participants with the tools and methodologies to analyze the costs and revenues associated with individual units or transactions. Topics include cost structures, revenue streams, and profitability metrics at a granular level. Skills cultivated encompass a high level of 'Fluency with Data' for thorough analysis of financial and operational data, as well as expertise in 'Measuring Progress and KPIs' to assess the performance and viability of unit economics models. By course completion, participants will be proficient in conducting unit economy analyses, enabling them to make informed decisions and optimize business operations for sustainable growth and profitability."
Unit Economy Improvements,Unit Economics,Product Analytics,Business Goals Ownership,3,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=151-3702&t=aENtCOSbBGKwDMTu-4,Optimize unit economics. Develop business goals ownership and analytics skills in this targeted course,"""Unit Economy Improvements"" focuses on enhancing the unit economics of a business through strategic interventions and optimizations. Positioned within the Unit Economics domain, this course equips participants with the knowledge and tools to identify inefficiencies and implement targeted improvements in cost structures, revenue streams, and operational processes. Topics include root cause analysis, cost reduction strategies, and revenue optimization techniques. Skills cultivated encompass taking ownership of 'Business Goals' to align improvement efforts with organizational objectives, as well as proficiency in leveraging 'Analytics' to identify and prioritize improvement opportunities effectively. By course completion, participants will be equipped to drive meaningful enhancements in unit economics, leading to increased profitability and sustainable growth for the business."
Financial Management,Finance,Product Processes,Business Goals Ownership Product Vision Planning,3,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=276-30249&t=aENtCOSbBGKwDMTu-4,Master financial management. Cultivate business goals ownership and product vision & planning skills in this essential finance course,"""Financial Management"" provides a comprehensive understanding of managing finances to achieve business goals effectively. Positioned within the Finance domain, this course covers essential topics such as budgeting, forecasting, and financial analysis. Participants will learn to navigate financial statements, assess investment opportunities, and optimize resource allocation. Skills cultivated include taking ownership of 'Business Goals' to align financial decisions with organizational objectives, and developing a robust 'Product Vision & Planning' framework to drive strategic financial initiatives. By course completion, participants will possess the expertise to make informed financial decisions, mitigate risks, and maximize value creation for the organization."
